row	family	params	carrier	laws_satisfied
202	linear/Z_m	m=10 a=6 b=8	finite:10	7
203	linear/Z_m	m=10 a=6 b=9	finite:10	67
204	linear/Z_m	m=10 a=7 b=1	finite:10	22
205	linear/Z_m	m=10 a=7 b=2	finite:10	37
206	linear/Z_m	m=10 a=7 b=4	finite:10	82
207	linear/Z_m	m=10 a=7 b=6	finite:10	18
208	linear/Z_m	m=10 a=7 b=7	finite:10	78
209	linear/Z_m	m=10 a=7 b=8	finite:10	23
210	linear/Z_m	m=10 a=7 b=9	finite:10	108
211	linear/Z_m	m=10 a=8 b=1	finite:10	14
212	linear/Z_m	m=10 a=8 b=2	finite:10	17
213	linear/Z_m	m=10 a=8 b=3	finite:10	82
214	linear/Z_m	m=10 a=8 b=4	finite:10	25
215	linear/Z_m	m=10 a=8 b=6	finite:10	7
216	linear/Z_m	m=10 a=8 b=7	finite:10	23
217	linear/Z_m	m=10 a=8 b=8	finite:10	50
218	linear/Z_m	m=10 a=8 b=9	finite:10	47
219	linear/Z_m	m=10 a=9 b=2	finite:10	104
220	linear/Z_m	m=10 a=9 b=3	finite:10	71
221	linear/Z_m	m=10 a=9 b=4	finite:10	112
222	linear/Z_m	m=10 a=9 b=6	finite:10	67
223	linear/Z_m	m=10 a=9 b=7	finite:10	108
224	linear/Z_m	m=10 a=9 b=8	finite:10	47
225	linear/Z_m	m=11 a=1 b=2	finite:11	7
226	linear/Z_m	m=11 a=1 b=3	finite:11	7
227	linear/Z_m	m=11 a=1 b=4	finite:11	8
228	linear/Z_m	m=11 a=1 b=6	finite:11	10
229	linear/Z_m	m=11 a=1 b=7	finite:11	9
230	linear/Z_m	m=11 a=1 b=8	finite:11	10
231	linear/Z_m	m=11 a=2 b=1	finite:11	7
232	linear/Z_m	m=11 a=2 b=3	finite:11	7
233	linear/Z_m	m=11 a=2 b=4	finite:11	7
234	linear/Z_m	m=11 a=2 b=5	finite:11	16
235	linear/Z_m	m=11 a=2 b=6	finite:11	5
236	linear/Z_m	m=11 a=2 b=7	finite:11	7
237	linear/Z_m	m=11 a=2 b=8	finite:11	4
238	linear/Z_m	m=11 a=2 b=9	finite:11	17
239	linear/Z_m	m=11 a=2 b=10	finite:11	102
240	linear/Z_m	m=11 a=3 b=1	finite:11	7
241	linear/Z_m	m=11 a=3 b=2	finite:11	7
242	linear/Z_m	m=11 a=3 b=4	finite:11	4
243	linear/Z_m	m=11 a=3 b=5	finite:11	8
244	linear/Z_m	m=11 a=3 b=6	finite:11	5
245	linear/Z_m	m=11 a=3 b=7	finite:11	12
246	linear/Z_m	m=11 a=3 b=8	finite:11	19
247	linear/Z_m	m=11 a=3 b=9	finite:11	82
248	linear/Z_m	m=11 a=3 b=10	finite:11	46
249	linear/Z_m	m=11 a=4 b=1	finite:11	8
250	linear/Z_m	m=11 a=4 b=2	finite:11	7
251	linear/Z_m	m=11 a=4 b=3	finite:11	4
252	linear/Z_m	m=11 a=4 b=5	finite:11	3
253	linear/Z_m	m=11 a=4 b=6	finite:11	7
254	linear/Z_m	m=11 a=4 b=7	finite:11	19
255	linear/Z_m	m=11 a=4 b=8	finite:11	74
256	linear/Z_m	m=11 a=4 b=9	finite:11	9
257	linear/Z_m	m=11 a=4 b=10	finite:11	46
258	linear/Z_m	m=11 a=5 b=2	finite:11	16
259	linear/Z_m	m=11 a=5 b=3	finite:11	8
260	linear/Z_m	m=11 a=5 b=4	finite:11	3
261	linear/Z_m	m=11 a=5 b=6	finite:11	20
262	linear/Z_m	m=11 a=5 b=7	finite:11	68
263	linear/Z_m	m=11 a=5 b=8	finite:11	8
264	linear/Z_m	m=11 a=5 b=9	finite:11	4
265	linear/Z_m	m=11 a=6 b=1	finite:11	10
266	linear/Z_m	m=11 a=6 b=2	finite:11	5
267	linear/Z_m	m=11 a=6 b=3	finite:11	5
268	linear/Z_m	m=11 a=6 b=4	finite:11	7
269	linear/Z_m	m=11 a=6 b=5	finite:11	20
270	linear/Z_m	m=11 a=6 b=6	finite:11	80
271	linear/Z_m	m=11 a=6 b=7	finite:11	5
272	linear/Z_m	m=11 a=6 b=8	finite:11	10
273	linear/Z_m	m=11 a=6 b=9	finite:11	15
274	linear/Z_m	m=11 a=6 b=10	finite:11	44
275	linear/Z_m	m=11 a=7 b=1	finite:11	9
276	linear/Z_m	m=11 a=7 b=2	finite:11	7
277	linear/Z_m	m=11 a=7 b=4	finite:11	19
278	linear/Z_m	m=11 a=7 b=5	finite:11	68
279	linear/Z_m	m=11 a=7 b=6	finite:11	5
280	linear/Z_m	m=11 a=7 b=8	finite:11	1
281	linear/Z_m	m=11 a=7 b=9	finite:11	15
282	linear/Z_m	m=11 a=8 b=1	finite:11	10
283	linear/Z_m	m=11 a=8 b=2	finite:11	4
284	linear/Z_m	m=11 a=8 b=3	finite:11	19
285	linear/Z_m	m=11 a=8 b=4	finite:11	74
286	linear/Z_m	m=11 a=8 b=5	finite:11	8
287	linear/Z_m	m=11 a=8 b=6	finite:11	10
288	linear/Z_m	m=11 a=8 b=9	finite:11	9
289	linear/Z_m	m=11 a=9 b=2	finite:11	17
290	linear/Z_m	m=11 a=9 b=3	finite:11	82
291	linear/Z_m	m=11 a=9 b=4	finite:11	9
292	linear/Z_m	m=11 a=9 b=5	finite:11	4
293	linear/Z_m	m=11 a=9 b=6	finite:11	15
294	linear/Z_m	m=11 a=9 b=7	finite:11	15
295	linear/Z_m	m=11 a=9 b=8	finite:11	9
296	linear/Z_m	m=11 a=10 b=2	finite:11	102
297	linear/Z_m	m=11 a=10 b=3	finite:11	46
298	linear/Z_m	m=11 a=10 b=4	finite:11	46
299	linear/Z_m	m=11 a=10 b=6	finite:11	44
300	linear/Z_m	m=12 a=1 b=2	finite:12	14
301	linear/Z_m	m=12 a=1 b=3	finite:12	81
302	linear/Z_m	m=12 a=1 b=7	finite:12	5
303	linear/Z_m	m=12 a=1 b=9	finite:12	41
304	linear/Z_m	m=12 a=2 b=1	finite:12	14
305	linear/Z_m	m=12 a=2 b=2	finite:12	19
306	linear/Z_m	m=12 a=2 b=3	finite:12	52
307	linear/Z_m	m=12 a=2 b=4	finite:12	19
308	linear/Z_m	m=12 a=2 b=5	finite:12	53
309	linear/Z_m	m=12 a=2 b=6	finite:12	34
310	linear/Z_m	m=12 a=2 b=7	finite:12	31
311	linear/Z_m	m=12 a=2 b=8	finite:12	29
312	linear/Z_m	m=12 a=2 b=9	finite:12	23
313	linear/Z_m	m=12 a=2 b=10	finite:12	14
314	linear/Z_m	m=12 a=2 b=11	finite:12	101
315	linear/Z_m	m=12 a=3 b=1	finite:12	81
316	linear/Z_m	m=12 a=3 b=2	finite:12	52
317	linear/Z_m	m=12 a=3 b=5	finite:12	39
318	linear/Z_m	m=12 a=3 b=6	finite:12	94
319	linear/Z_m	m=12 a=3 b=8	finite:12	78
320	linear/Z_m	m=12 a=3 b=10	finite:12	114
321	linear/Z_m	m=12 a=3 b=11	finite:12	79
322	linear/Z_m	m=12 a=4 b=2	finite:12	19
323	linear/Z_m	m=12 a=4 b=6	finite:12	69
324	linear/Z_m	m=12 a=4 b=7	finite:12	9
325	linear/Z_m	m=12 a=4 b=10	finite:12	11
326	linear/Z_m	m=12 a=4 b=11	finite:12	55
327	linear/Z_m	m=12 a=5 b=2	finite:12	53
328	linear/Z_m	m=12 a=5 b=3	finite:12	39
329	linear/Z_m	m=12 a=5 b=5	finite:12	64
330	linear/Z_m	m=12 a=5 b=9	finite:12	17
331	linear/Z_m	m=12 a=5 b=11	finite:12	69
332	linear/Z_m	m=12 a=6 b=2	finite:12	34
333	linear/Z_m	m=12 a=6 b=3	finite:12	94
334	linear/Z_m	m=12 a=6 b=4	finite:12	69
335	linear/Z_m	m=12 a=6 b=8	finite:12	49
336	linear/Z_m	m=12 a=6 b=9	finite:12	57
337	linear/Z_m	m=12 a=6 b=10	finite:12	64
338	linear/Z_m	m=12 a=7 b=1	finite:12	5
339	linear/Z_m	m=12 a=7 b=2	finite:12	31
340	linear/Z_m	m=12 a=7 b=4	finite:12	9
341	linear/Z_m	m=12 a=7 b=8	finite:12	37
342	linear/Z_m	m=12 a=7 b=9	finite:12	71
343	linear/Z_m	m=12 a=7 b=10	finite:12	13
344	linear/Z_m	m=12 a=8 b=2	finite:12	29
345	linear/Z_m	m=12 a=8 b=6	finite:12	49
346	linear/Z_m	m=12 a=8 b=7	finite:12	37
347	linear/Z_m	m=12 a=8 b=10	finite:12	19
348	linear/Z_m	m=12 a=8 b=11	finite:12	85
349	linear/Z_m	m=12 a=9 b=1	finite:12	41
350	linear/Z_m	m=12 a=9 b=2	finite:12	23
351	linear/Z_m	m=12 a=9 b=5	finite:12	17
352	linear/Z_m	m=12 a=9 b=6	finite:12	57
353	linear/Z_m	m=12 a=9 b=7	finite:12	71
354	linear/Z_m	m=12 a=9 b=10	finite:12	52
355	linear/Z_m	m=12 a=10 b=3	finite:12	114
356	linear/Z_m	m=12 a=10 b=4	finite:12	11
357	linear/Z_m	m=12 a=10 b=6	finite:12	64
358	linear/Z_m	m=12 a=10 b=7	finite:12	13
359	linear/Z_m	m=12 a=10 b=8	finite:12	19
360	linear/Z_m	m=12 a=10 b=9	finite:12	52
361	linear/Z_m	m=12 a=10 b=11	finite:12	48
362	linear/Z_m	m=12 a=11 b=2	finite:12	101
363	linear/Z_m	m=12 a=11 b=3	finite:12	79
364	linear/Z_m	m=12 a=11 b=4	finite:12	55
365	linear/Z_m	m=12 a=11 b=5	finite:12	69
366	linear/Z_m	m=12 a=11 b=8	finite:12	85
367	linear/Z_m	m=12 a=11 b=10	finite:12	48
368	linear/Z_m	m=13 a=1 b=2	finite:13	3
369	linear/Z_m	m=13 a=1 b=3	finite:13	7
370	linear/Z_m	m=13 a=1 b=4	finite:13	6
371	linear/Z_m	m=13 a=1 b=5	finite:13	13
372	linear/Z_m	m=13 a=1 b=7	finite:13	4
373	linear/Z_m	m=13 a=1 b=10	finite:13	10
374	linear/Z_m	m=13 a=2 b=1	finite:13	3
375	linear/Z_m	m=13 a=2 b=3	finite:13	7
376	linear/Z_m	m=13 a=2 b=4	finite:13	6
377	linear/Z_m	m=13 a=2 b=5	finite:13	9
378	linear/Z_m	m=13 a=2 b=6	finite:13	14
379	linear/Z_m	m=13 a=2 b=7	finite:13	2
380	linear/Z_m	m=13 a=2 b=8	finite:13	9
381	linear/Z_m	m=13 a=2 b=9	finite:13	7
382	linear/Z_m	m=13 a=2 b=10	finite:13	5
