set	from	to	smallest_witness
unresolved	1979	3952	none
unresolved	1979	3972	none
unresolved	1979	3989	none
unresolved	1979	4006	none
unresolved	1979	4040	none
unresolved	1979	4587	none
unresolved	1979	4606	none
unresolved	1979	4615	none
unresolved	1979	4645	none
unresolved	1979	4666	none
unresolved	1979	4689	none
unresolved	2000	1025	none
unresolved	2000	1055	none
unresolved	2000	1096	none
unresolved	2000	1112	none
unresolved	2000	1133	none
unresolved	2000	1150	none
unresolved	2000	1202	none
unresolved	2000	1634	none
unresolved	2000	1657	none
unresolved	2000	1668	none
unresolved	2000	1681	none
unresolved	2000	1701	none
unresolved	2000	1721	none
unresolved	2000	1742	none
unresolved	2000	1763	none
unresolved	2000	1797	none
unresolved	2000	1816	none
unresolved	2000	1847	none
unresolved	2000	1875	none
unresolved	2000	1897	none
unresolved	2000	1912	none
unresolved	2000	1958	none
unresolved	2000	1979	none
unresolved	2000	2024	none
unresolved	2000	3867	none
unresolved	2000	3897	none
unresolved	2000	3925	none
unresolved	2000	3935	none
unresolved	2000	3972	none
unresolved	2000	4006	none
unresolved	2000	4040	none
unresolved	2000	4587	none
unresolved	2000	4606	none
unresolved	2000	4615	none
unresolved	2000	4645	none
unresolved	2000	4666	none
unresolved	2000	4689	none
unresolved	2054	255	none
unresolved	2054	2644	none
unresolved	2054	2847	none
unresolved	2054	3456	none
unresolved	2056	2040	none
unresolved	2056	4584	none
unresolved	2056	4631	none
unresolved	2061	261	none
unresolved	2070	4584	none
unresolved	2070	4631	none
unresolved	2091	47	none
unresolved	2091	2098	none
unresolved	2101	883	none
unresolved	2101	2238	none
unresolved	2101	2304	none
unresolved	2162	151	32
unresolved	2162	152	32
unresolved	2162	166	32
unresolved	2162	1427	32
unresolved	2162	1429	32
unresolved	2162	1430	32
unresolved	2162	1481	32
unresolved	2162	1483	32
unresolved	2162	2051	32
unresolved	2162	2087	32
unresolved	2162	2124	32
unresolved	2162	2161	32
unresolved	2162	2163	32
unresolved	2162	3456	32
unresolved	2162	3457	32
unresolved	2162	3511	32
unresolved	2162	3862	32
unresolved	2162	3877	32
unresolved	2162	3955	32
unresolved	2301	3	11
unresolved	2301	8	11
unresolved	2301	23	11
unresolved	2301	47	11
unresolved	2301	99	11
unresolved	2301	151	11
unresolved	2301	203	11
unresolved	2301	255	11
unresolved	2301	307	11
unresolved	2301	326	11
unresolved	2301	359	11
unresolved	2301	375	11
unresolved	2301	411	11
unresolved	2301	614	11
unresolved	2301	817	11
unresolved	2301	1020	11
unresolved	2301	1083	11
unresolved	2301	1223	11
unresolved	2301	1286	11
unresolved	2301	1426	11
unresolved	2301	1629	11
unresolved	2301	1832	11
unresolved	2301	2035	11
unresolved	2301	2441	11
unresolved	2301	2504	11
unresolved	2301	2644	11
unresolved	2301	2847	11
unresolved	2301	3050	11
unresolved	2301	3253	11
unresolved	2301	3319	11
unresolved	2301	3456	11
unresolved	2301	3522	11
unresolved	2301	3659	11
unresolved	2301	3715	11
unresolved	2301	3722	11
unresolved	2301	3862	11
unresolved	2301	3915	11
unresolved	2301	4065	11
unresolved	2301	4118	11
unresolved	2301	4380	11
unresolved	2301	4435	11
unresolved	2301	4470	11
unresolved	2304	883	none
unresolved	2338	511	none
unresolved	2338	714	none
unresolved	2338	1120	none
unresolved	2460	23	none
unresolved	2460	1629	none
unresolved	2460	3050	none
unresolved	2460	3456	none
unresolved	2460	3522	none
unresolved	2460	4065	none
unresolved	2460	4118	none
unresolved	2473	1631	none
unresolved	2473	1633	none
unresolved	2473	1655	none
unresolved	2473	1656	none
unresolved	2473	1660	none
unresolved	2473	1661	none
